,0,1,2,3,4,5,6,7,8,9
0,0.58,0.31,0.01,0.84,0.18,0.37,0.87,0.46,0.0,-7.637332113596581e-12
1,0.58,0.31,0.01,0.84,0.18,0.37,0.87,0.46,1.0,0.15883118433663684
2,0.58,0.31,0.01,0.84,0.18,0.37,0.87,0.46,0.0,0.16084882457203747
3,0.58,0.31,0.01,0.84,0.18,0.37,0.87,0.46,1.0,0.161760687208545
4,0.58,0.31,0.01,0.84,0.18,0.37,0.87,0.46,1.0,0.16340297695248157
5,0.58,0.31,0.01,0.84,0.18,0.37,0.87,0.46,1.0,0.16499609559181921
6,0.58,0.31,0.01,0.84,0.18,0.37,0.87,0.46,1.0,0.16535674912674436
7,0.58,0.31,0.01,0.84,0.18,0.37,0.87,0.46,1.0,0.17557479288721733
8,0.58,0.31,0.01,0.84,0.18,0.37,0.87,0.46,1.0,0.18819959074282708
9,0.58,0.31,0.01,0.84,0.18,0.37,0.87,0.46,0.0,0.1911625585035849
10,0.58,0.31,0.01,0.84,0.18,0.37,0.87,0.46,1.0,0.19145776145647098
11,0.58,0.31,0.01,0.84,0.18,0.37,0.87,0.46,1.0,0.1926409814411023
12,0.58,0.31,0.01,0.84,0.18,0.37,0.87,0.46,1.0,0.1975011127752183
13,0.58,0.31,0.01,0.84,0.18,0.37,0.87,0.46,1.0,0.1979758596230749
14,0.58,0.31,0.01,0.84,0.18,0.37,0.87,0.46,1.0,0.19988183136957965
15,0.58,0.31,0.01,0.84,0.18,0.37,0.87,0.46,1.0,0.20290654269496142
16,0.58,0.31,0.01,0.84,0.18,0.37,0.87,0.46,1.0,0.21795535324233828
17,0.58,0.31,0.01,0.84,0.18,0.37,0.87,0.46,1.0,0.2188388794570229
18,0.58,0.31,0.01,0.84,0.18,0.37,0.87,0.46,1.0,0.21967767706426464
19,0.58,0.31,0.01,0.84,0.18,0.37,0.87,0.46,1.0,0.2196972210200403
20,0.58,0.31,0.01,0.84,0.18,0.37,0.87,0.46,1.0,0.22025355798859222
21,0.58,0.31,0.01,0.84,0.18,0.37,0.87,0.46,1.0,0.22056103662448762
22,0.58,0.31,0.01,0.84,0.18,0.37,0.87,0.46,1.0,0.22250919173108585
23,0.58,0.31,0.01,0.84,0.18,0.37,0.87,0.46,1.0,0.22251471222266067
24,0.58,0.31,0.01,0.84,0.18,0.37,0.87,0.46,1.0,0.2299996069181334
25,0.58,0.31,0.01,0.84,0.18,0.37,0.87,0.46,1.0,0.23205514261095694
26,0.58,0.31,0.01,0.84,0.18,0.37,0.87,0.46,1.0,0.2385491682464882
27,0.58,0.31,0.01,0.84,0.18,0.37,0.87,0.46,1.0,0.24022140060025912
28,0.58,0.31,0.01,0.84,0.18,0.37,0.87,0.46,1.0,0.2414157892345622
29,0.58,0.31,0.01,0.84,0.18,0.37,0.87,0.46,1.0,0.2434432617456614
30,0.58,0.31,0.01,0.84,0.18,0.37,0.87,0.46,1.0,0.24394999524700942
31,0.58,0.31,0.01,0.84,0.18,0.37,0.87,0.46,1.0,0.24915378154329326
32,0.58,0.31,0.01,0.84,0.18,0.37,0.87,0.46,1.0,0.2534779651158071
33,0.58,0.31,0.01,0.84,0.18,0.37,0.87,0.46,1.0,0.25594024866593323
34,0.58,0.31,0.01,0.84,0.18,0.37,0.87,0.46,1.0,0.2599679284323535
35,0.58,0.31,0.01,0.84,0.18,0.37,0.87,0.46,1.0,0.26492075019641137
36,0.58,0.31,0.01,0.84,0.18,0.37,0.87,0.46,1.0,0.26598397758580083
37,0.58,0.31,0.01,0.84,0.18,0.37,0.87,0.46,1.0,0.26631792010826494
38,0.58,0.31,0.01,0.84,0.18,0.37,0.87,0.46,1.0,0.26754266607602384
39,0.58,0.31,0.01,0.84,0.18,0.37,0.87,0.46,1.0,0.26842511851341716
40,0.58,0.31,0.01,0.84,0.18,0.37,0.87,0.46,1.0,0.2718908640875356
41,0.58,0.31,0.01,0.84,0.18,0.37,0.87,0.46,1.0,0.2735104672332762
42,0.58,0.31,0.01,0.84,0.18,0.37,0.87,0.46,1.0,0.2737185805308256
43,0.58,0.31,0.01,0.84,0.18,0.37,0.87,0.46,1.0,0.2752386871534077
44,0.58,0.31,0.01,0.84,0.18,0.37,0.87,0.46,1.0,0.2763799215572839
45,0.58,0.31,0.01,0.84,0.18,0.37,0.87,0.46,1.0,0.2765062925661947
46,0.58,0.31,0.01,0.84,0.18,0.37,0.87,0.46,0.0,0.279867147876284
47,0.58,0.31,0.01,0.84,0.18,0.37,0.87,0.46,1.0,0.28005488264637635
48,0.58,0.31,0.01,0.84,0.18,0.37,0.87,0.46,1.0,0.2809684139511143
49,0.58,0.31,0.01,0.84,0.18,0.37,0.87,0.46,1.0,0.2810657690777161
50,0.58,0.31,0.01,0.84,0.18,0.37,0.87,0.46,1.0,0.28126964424736184
51,0.58,0.31,0.01,0.84,0.18,0.37,0.87,0.46,1.0,0.2828914601075972
